department,course_code,current_term,current_avg_difficulty,current_reviews,risk_label,risk_confidence,prob_easier,prob_stable,prob_harder,harder_minus_easier
Criminology,CRIM355,2024-fall,4.0,2,easier,0.5101,0.5101,0.3337,0.1562,-0.3539
Business Administration,BUS251,2026-spring,5.0,2,easier,0.6206,0.6206,0.2302,0.1492,-0.4714
Science,MBB222,2026-spring,4.5,2,easier,0.5514,0.5514,0.2994,0.1492,-0.4022
Computer Science,CMPT431,2026-spring,4.5,2,easier,0.5713,0.5713,0.2926,0.1361,-0.4351
Chemistry,CHEM282,2025-fall,4.0,2,stable,0.4857,0.3829,0.4857,0.1314,-0.2514
Political Science,POL141,2026-spring,4.0,2,easier,0.606,0.606,0.265,0.129,-0.4771
Biology,BISC101,2026-spring,3.875,8,easier,0.5249,0.5249,0.3583,0.1168,-0.4081
Sociology,SA150,2026-spring,3.667,3,easier,0.5691,0.5691,0.3174,0.1135,-0.4557
Business Administration,BUS202,2025-fall,3.0,7,easier,0.4461,0.4461,0.4446,0.1093,-0.3368
Business Administration,BUS361,2025-fall,4.0,3,easier,0.4658,0.4658,0.4318,0.1024,-0.3635
Statistics,STAT285,2025-fall,3.5,8,stable,0.4748,0.4253,0.4748,0.1,-0.3253
Biology,BISC333,2025-spring,4.333,3,easier,0.6282,0.6282,0.2741,0.0977,-0.5305
Business Administration,BUS360,2025-fall,3.7,10,stable,0.5106,0.3967,0.5106,0.0927,-0.304
Geography,GEOG100,2026-spring,3.667,3,easier,0.6041,0.6041,0.3042,0.0917,-0.5124
Psychology,PSYC260,2026-spring,4.0,3,easier,0.6006,0.6006,0.3095,0.0899,-0.5107
Mathematics,MATH100,2026-spring,4.0,2,easier,0.685,0.685,0.2311,0.0839,-0.6011
Computer Science,CMPT201,2026-spring,3.833,6,easier,0.6592,0.6592,0.2584,0.0824,-0.5767
Computer Science,CMPT105W,2026-spring,3.5,2,easier,0.7376,0.7376,0.1893,0.0731,-0.6645
